genename	coding_BF
WDR81	7.3643292306
ECHDC3	3.4718997299
NIPAL2	3.6524534904
STYXL1	0.7696224177
TMEM52	4.0133733248
SPINLW1-WFDC6	0.8804570497
PCTP	4.0519841517
ZNF585B	0.592376862
PARN	2.8527963648
ANGPTL3	0.7502697984
DUSP27	0.3683264596
TRIM23	2.9279634843
CLPB	0.4879592441
CSF1	2.8466272442
RPAP1	5.9930871145
SCNN1D	10.1118209043
SMARCA4	2.9983852363
KLHL28	2.8963868845
BRF2	12.9614610636
GCFC1	0.5303210117
KRT19	0.5778114865
DDX58	0.5498343517
RARRES3	0.8589090101
TTLL3	2.1100728686
CEP57L1	0.7561674882
SLC16A10	3.051391191
DNAJC12	0.8648840512
XPO5	1.7218610833
OPRL1	2.7797103564
CAP2	3.0847989229
GINS4	0.8354538883
LRRIQ1	0.3724182616
EPHB1	8.4259980849
BTN1A1	12.1635442198
TMEM217	0.8539922669
DYNC1H1	1.016746199
SCUBE1	1.4447098861
REXO1	6.0493812801
SHB	2.9727973789
AMOTL1	8.2690903974
CDC42BPA	1.3044802451
NT5C2	2.9599124633
KRBA2	0.7021116821
GYG2	2.7558000669
ZNF410	0.7201162733
UBR3	11.7382136278
UBXN2A	3.8312892201
OR1A2	0.8020406086
CASP8AP2	6.038076893
CCDC164	0.5508827525
ZDHHC2	3.7506643308
PIK3R2	2.2919643832
DEAF1	12.5169605342
RIMBP2	5.8712226931
SPICE1	2.3462789097
SNX31	0.7021116821
ZNF614	13.1696771439
AMY2B	3.1528065121
PUS7	2.7677273098
RHOT2	1.9600687501
WRNIP1	2.6056988243
KIAA1609	12.9099658247
TRPV5	12.053244024
NEK10	2.8776177219
ALS2	6.5917046096
HYAL4	0.7201162733
NCAPG	0.536400592
TREML1	0.7833380561
FCAR	3.564866464
FAM98B	3.6203373633
ZNF559-ZNF177	0.9346100328
MPZL2	0.8225266394
PAPOLG	2.6169255298
SULT2A1	0.8228512146
IGFLR1	0.662402352
OSBPL8	10.8495597562
SPEN	3.7088780798
OCM	0.9024148881
DBF4B	11.9961875671
THNSL1	0.6191332108
SIK3	6.6699358746
AVEN	0.8313392493
LENG9	0.6547572388
PPHLN1	0.6993854446
MYO1A	0.4343827401
EHMT1	0.2345364809
PIRT	0.8945559599
SIAE	0.6636859434
SGSM3	9.4985991739
DECR1	0.7848783459
FBXO27	0.763610584
TNNT2	0.7576497734
GLUD1	2.5558186919
GNAS	8.1786922483
DDX60	6.3276656172
RBP5	0.8788861096
MAS1L	0.7488032025
BMP2K	0.4743695749
FAM173B	0.7926293539
C10orf27	0.7400688189
GRM6	1.8291405214
SH3D19	11.577179032
FLVCR1	2.9663473599
IGSF3	5.6669907124
L1CAM	5.4907550819
MYB	2.4802663758
BAAT	0.7400688189
DPY19L3	2.5945241411
OSBPL3	9.6128295331
PGLYRP4	0.7429679103
SPATA13	10.4123962659
MRPS14	0.858059104
SARM1	2.9152884218
SRD5A3	3.3964288909
INTS10	2.4433981405
FBN1	1.6807776269
TRPM6	4.8795520425
COL5A3	4.4842021085
ABCG1	2.0703515681
ARHGDIB	0.8484345569
BAI1	5.4602740428
CRBN	0.7243420667
ZNF383	0.7371820216
PHYHD1	0.7741650615
RANBP3L	3.3741349365
NTN5	3.2937340673
RAG2	0.715917266
PEX5L	2.7144901464
STEAP4	0.7271742348
UGT1A5	12.4810941345
LPHN2	1.5653776814
OR4A47	0.825615734
C2orf73	0.8338053811
BRF1	2.1145368988
OR4C46	0.8204202914
SLC17A1	3.2436497638
CCDC125	0.7117448612
SUCLA2	0.7215218857
PLAT	2.3764897563
ARHGEF16	2.738013223
CEP164	0.3317990657
PAK6	2.2106772635
NSUN7	0.7117448612
ASB1	3.1596958838
MAP7	2.2200767678
GPRIN1	8.3328154526
PRKD1	2.1145368988
XIRP1	0.8967888772
NDRG4	3.1804618179
ZNF18	0.6885949973
TMED1	0.7973198823
GRK4	2.7797103564
PAPL	2.6796140302
FAM86A	0.6832677463
REN	0.679301708
CLASP1	6.0661053299
KLHL6	2.2822357458
ETAA1	0.5778114865
RNF6	2.6282045182
SUMF1	0.7271742348
OR2S2	0.7864219294
ZNHIT6	3.1596958838
MYOZ1	0.7926293539
SLC25A41	0.67405253
SLFN5	2.2725517005
NTN1	2.422596747
ANGPT2	3.0249465526
KIAA2018	4.8161838275
SNF8	0.7864219294
PAPD5	3.1804618179
USP29	11.0212889638
SLC7A7	13.3548388022
CA6	0.7606238302
PDIA6	3.0647071212
LRRC34	0.8310110315
GSS	0.6688474085
WDR33	6.6198382057
C7orf29	0.8115734993
RPAP2	0.693967425
ITGAV	1.9395970401
SH3BGR	0.8359491313
PHF3	5.4501543662
UBAP2L	8.0347745864
MRPL2	0.7561674882
REM1	0.7561674882
KCTD19	0.4852078538
MARVELD3	3.4718997299
ACR	0.6611214581
ZNF598	7.7927281189
JARID2	5.5009562446
ACTR6	3.4566617398
PLOD2	2.6509203939
HDHD3	0.7879688143
SCRN2	0.6688474085
ABCC5	5.9451823736
SETD2	4.9782778451
ITPR1	0.424496811
PXN	0.5822512588
NEK8	0.5353820935
GALNT3	2.8838594629
TBC1D28	3.8346890106
PIAS2	0.6636859434
GPR115	0.6096806031
ACP2	2.8038449867
WDR69	0.7300184453
NBEA	2.8840648632
RABL2B	0.8131742595
ZNF323	0.7561674882
TRPM5	6.6951382655
SEMA6A	7.6454610144
SMYD1	2.7797103564
FN1	2.4279879946
KIAA0232	7.7040035381
SLC6A13	13.6969453788
ARFGAP2	2.738013223
TRIM46	1.9766141227
DMRT2	4.3328033837
MED13	4.7459802009
SUPT16H	1.9975082505
RAB5A	0.8529788363
RHPN1	0.592376862
PIGZ	0.5901103058
ZNF366	1.9724636879
KIF20A	0.5067405494
CCL5	4.2350320026
KRTAP9-3	4.198281737
ACSBG2	0.5992334731
SAT2	0.8533165011
SNAPC5	4.2797837728
ADSL	0.6409890708
ADAM33	9.6128295331
LRP6	6.0155365489
TMEM14E	4.2559163061
KRT71	2.6509203939
SASH1	5.9319071099
CAP1	0.6912755382
AKR1B15	3.6443956815
MDH2	0.7201162733
MUC17	0.0546156372
DENR	4.244511094
MAPT	0.4500888385
ART1	0.7400688189
SNX9	0.6287452841
MSH3	1.9113235933
ANKRD55	0.6050132033
ACER2	3.5964506759
ACRV1	0.8310110315
CYP2A13	2.611305658
CCDC158	2.0314366133
WEE2	0.6701445805
SEL1L2	0.6179429733
KRTAP12-2	0.8630013243
ARGFX	0.833146969
RGS1	4.0285903022
CST9	4.0420688725
PFKL	7.6309006666
GJD4	0.6598432558
ABHD12B	0.8321604107
NAPRT1	12.6809627963
EIF2C1	1.9033274447
NFE2L2	0.6714444873
RIC8A	2.5394220274
BMI1	0.8083822493
PSMG4	4.0646416596
ATMIN	0.5456623706
CEBPG	4.0384698249
KRTAP1-1	3.9645662864
DNASE2B	0.8067917436
ZNF551	0.6434687847
AADAC	3.4113799706
SLITRK6	2.5177363649
NCKIPSD	0.5508827525
MTR	1.6079829961
DNAJB9	3.9919962622
OR6B1	0.7926293539
MAP4	1.875624149
FAM180B	3.9822396239
RAN	3.9051085755
KIAA0556	0.2216411559
DUSP15	3.8955813625
PRDM4	2.4855821446
HOOK1	0.6534924023
WBSCR28	0.8179971759
UBASH3B	0.5593485593
SYCE1	0.8147784536
MTMR2	3.0315344081
EIF3J	3.9848979652
HNRNPUL1	1.8253234201
KCNT2	2.0228965724
DUSP3	3.9312201883
ZNF555	2.8404725383
AP2S1	3.9461005329
TSR2	3.9077112772
COMMD3-BMI1	0.7591352184
ZYX	2.4329734267
PSG9	0.7062227214
RPL14	3.8843543232
IGFBP7	0.9092626006
CTNND2	0.3118962432
NKIRAS2	3.7614740645
B9D1	3.9813539364
EDDM3A	0.9016973459
CGGBP1	4.0882620578
STRN3	2.6225584723
C1orf201	0.7910725189
DYNC2LI1	0.7802673274
MAD1L1	9.1580710342
GPS1	2.4122678634
ALG14	0.8115734993
TEX19	0.8979404173
C2orf77	0.7103599397
DIAPH1	1.8522248902
DNA2	2.1190111308
MYO5A	4.9554392458
VPS25	3.8372409945
TRPM3	4.6173095875
PCDHB16	1.758066116
HTR3A	0.6120289625
PPP2R1B	2.738013223
KCNJ15	3.3446554148
CRTAM	0.7502697984
PEPD	2.5285540784
SERPINB4	0.7621156163
CPT1C	1.7654052802
PCYT1A	14.2094099128
ANKAR	0.4208335008
ATF7IP2	0.6434687847
DICER1	5.0997547368
WLS	0.6299581502
ZNF644	1.7838983105
ZNF423	4.7943482922
VAMP5	0.8844855672
RDH8	3.2013753542
TXNDC3	0.6714444873
ASTL	0.6497137986
KCTD6	3.7714821856
HSPB2	3.7506643308
NR1I3	0.747339723
OR6C3	3.7340995093
PAFAH1B2	3.8109588036
KCTD20	3.2578750203
C2orf55	1.8444953391
TTC32	0.8700415046
LUC7L2	3.3154541338
DOHH	3.7423720097
FAM190A	12.4316616303
PIGL	0.798890092
GCSH	0.9222089694
TPTE	12.8843013098
LRRC19	3.6686269595
HRCT1	0.8650554296
CD79A	3.7176137667
ARMC2	10.2509042686
TWF1	3.6605305666
OR5B21	3.6930325375
PHOSPHO2	0.8621470132
PERP	3.6686269595
MRFAP1	3.676742719
SLC16A5	0.5901103058
MMP19	0.6484595458
EML2	0.5096248279
C2orf70	3.6930325375
MXD4	3.676742719
FREM3	3.9131726738
SLC25A34	0.7271742348
CUX2	4.558557244
RAB11FIP2	3.1459333748
EID1	3.6443956815
MARK2	2.0400156038
DNAJB6	3.676742719
INHBE	0.7517395176
ELOVL1	3.6443956815
VCX3B	3.6363570902
NAA40	3.6443956815
MINPP1	0.5969384028
VAV3	10.8495597562
GADD45B	3.6203373633
RFC5	3.549186932
AKR1C2	3.5964506759
PDS5A	1.8139236295
JPH3	1.6179917146
GFM2	2.611305658
GZMM	3.5413751413
SRD5A2	3.7258467786
OR11L1	3.5335819371
BPNT1	3.6605305666
ACSM5	2.6623578099
KLC2	2.2533165078
PMF1	0.8442503598
TRDMT1	3.564866464
SLC44A2	0.5019727389
FGF2	3.6686269595
NFYA	3.549186932
SSTR4	0.5690418811
SLCO1C1	2.9089731392
SLAMF9	0.8262676759
RTP2	3.5413751413
SRRD	0.8288810478
C7orf43	2.9987494462
MBD2	3.6203373633
ZNF292	3.7205562407
PSMC2	0.7007471222
CMA1	0.8204202914
BAP1	2.2013207303
EXOSC8	0.8209058506
C21orf91	0.8238257761
HIVEP3	2.5153785897
SEC31B	0.441747001
DNTT	2.9599124633
SEC14L4	0.6980266426
CERCAM	0.5636343741
OAF	3.4872103705
POPDC3	0.8179971759
PGRMC1	3.5025940347
KIAA0182	5.1793262536
TATDN3	0.8179971759
TCHP	0.6275349551
HMBS	3.4188821794
ZNF785	0.6143871538
PSD4	0.409258826
GMPPA	2.9534926509
PER2	5.8602776403
DYTN	2.9534926509
CALHM2	0.6872589653
FRYL	2.6461456247
HAVCR1	0.7215218857
RNF182	0.8243135276
ST13	3.4339401628
NMNAT1	0.8225266394
PAPD4	0.7187136371
DCUN1D3	3.5258072718
TMEM178	3.5025940347
KAT6A	4.1465822068
CPXM1	2.1506185194
TIMM10	0.9294055719
POU6F1	3.4188821794
CTTN	0.558282646
GCNT2	0.7415168243
OR10H4	0.7910725189
WBP4	0.8004636649
ARPC4-TTLL3	0.5519333253
TMEM120A	3.4038955562
FUT2	0.6766715868
C9orf139	0.8243135276
DNAJC2	0.6636859434
HEPACAM	3.3889799293
CCL27	0.9227603965
ENY2	0.9307037248
LPHN1	3.4230942966
FAM71C	0.8163860897
POGLUT1	3.4188821794
CCL14	0.920740249
AHSP	0.9209236998
SYTL3	0.6275349551
DAPK3	0.5415247538
TIGD7	0.6953176394
USP46	3.5103133679
FAM65C	7.6018698436
TTC26	0.693967425
GRIK5	1.6013476584
FRMD6	0.6038524293
PDLIM1	3.4113799706
DNAAF1	2.4591257994
TIAL1	3.3889799293
AMPD1	11.1739665406
OGFOD1	0.6714444873
FARP1	6.5331432915
KCNQ3	1.9274249293
C5orf48	0.9125259644
RNASEL	0.5723134207
CCNB1	3.3519990991
FABP9	0.9076356812
SLA2	0.7957530278
OXGR1	0.7756857479
MDM2	3.3009569492
PXT1	0.9692216439
HINT2	0.9018766733
OR6C6	0.8131742595
PAH	0.7131327183
C5orf64	0.9150729445
PSMC5	3.2365623269
TBCK	2.5177363649
GNAI1	3.3964288909
GUCA2A	0.9321897438
PYGL	2.0835015273
ROMO1	0.8943782153
DDX59	0.6636859434
RFX3	2.5177363649
C11orf67	0.9231282138
KIFC3	1.7913539935
